system,game_id,game_name,ch_name,img
pcecd,PCECD#230,Lady Phantom (Japan) (FABT),幻影女郎 （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD230.jpg
pcecd,PCECD#231,Langrisser - Hikari no Matsuei (Japan),梦幻模拟战 光辉的末裔 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD231.jpg
pcecd,PCECD#232,Laplace no Ma (Japan),拉普拉斯之魔 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD232.jpg
pcecd,PCECD#233,Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan),漫画幻想视觉集 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD233.jpg
pcecd,PCECD#234,Laser Soft Visual Collection Vol. 2 - Valis Visual-shuu (Japan),梦幻战士视觉集 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD234.jpg
pcecd,PCECD#235,Last Alert (USA),最后警戒 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD235.jpg
pcecd,PCECD#236,Last Armageddon (Japan) (Rev 5),女超人蕾拉 （日版） （修正版 5）,https://data.yang2000ling.com/img/pcecd_200/PCECD236.jpg
pcecd,PCECD#237,Last Armageddon (Japan) (Rev 6),女超人蕾拉 （日版） （修正版 6）,https://data.yang2000ling.com/img/pcecd_200/PCECD236.jpg
pcecd,PCECD#238,Legend of Xanadu - Kaze no Densetsu Xanadu (Japan),风的传说 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD238.jpg
pcecd,PCECD#239,Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan),风的传说 2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD239.jpg
pcecd,PCECD#240,Legion (Japan),空中军团 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD240.jpg
pcecd,PCECD#241,Lemmings (Japan),疯狂小旅鼠 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD241.jpg
pcecd,PCECD#242,Linda^3 (Japan) (Rev 1),琳达三次方 （日版） （修正版 1）,https://data.yang2000ling.com/img/pcecd_200/PCECD242.jpg
pcecd,PCECD#243,Linda^3 (Japan) (Rev 2),琳达三次方 （日版） （修正版 2）,https://data.yang2000ling.com/img/pcecd_200/PCECD242.jpg
pcecd,PCECD#244,"Local Girls of Hawaii, The (USA) (Unl)",夏威夷本地女孩 （美版） （非官方版）,https://data.yang2000ling.com/img/pcecd_200/PCECD179.jpg
pcecd,PCECD#245,Loom (Japan),织布机 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD246.jpg
pcecd,PCECD#246,Loom (USA),织布机 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD246.jpg
pcecd,PCECD#247,Lord of Wars (Japan),军火之王 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD247.jpg
pcecd,PCECD#248,Lords of the Rising Sun (USA),旭日东升 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD248.jpg
pcecd,PCECD#249,Lords of Thunder (USA),雷霆之王 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD249.jpg
pcecd,PCECD#250,Mad Stalker - Full Metal Force (Japan),疯狂潜入者 金属力量 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD250.jpg
pcecd,PCECD#251,Mad Stalker - Full Metal Force (Japan) (Demo),疯狂潜入者 金属力量 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD250.jpg
