system,game_id,game_name,ch_name,dlc_id,dlc_name,region
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0016,Wonder Woman Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0046,World Peace Day Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0061,Wrestler Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0020,Zatanna Costume,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFESTIVAL0001,MSRCFESTIVAL0001,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFESTIVAL0002,MSRCFESTIVAL0002,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK01,MSRCFREEDLCPAK01,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK02,MSRCFREEDLCPAK02,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK03,MSRCFREEDLCPAK03,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK04,MSRCFREEDLCPAK04,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK05,MSRCFREEDLCPAK05,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK06,MSRCFREEDLCPAK06,USA
psvdlc,PCSA00027,MotorStorm RC,机车风暴 RC [英文版],DLC-MSRCFREEDLCPAK07,MSRCFREEDLCPAK07,USA
